experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E154,soykb,trace-1,right-left,0.5,2,45396,power,-8917385903273927053,uniform,22698,35831,35831,3.839062401311821e-09,2820948.0391519903,2820948.039151994,6513791051.960848,189,71.43926788685525,37.91275828920308,993,0
J9_E155,soykb,trace-1,right-left,0.5,2,45396,runtime,8116586080703306612,uniform,22698,34245,34245,6.382441242180903e-08,2820948.039151928,2820948.0391519917,6513791051.960848,242,88.98859005704972,75.2214449149335,993,0
J9_E156,soykb,trace-1,right-left,0.5,2,45396,runtime_ascending,725224486686559368,uniform,22698,26311,26311,0,2820948.0391501775,2820948.0391501775,6513791051.960848,337,122.43886861313868,104.60649422464141,993,0
J9_E157,soykb,trace-1,right-left,0.8,2,45396,energy,6686131393511691254,uniform,22698,41966,41966,1.0413456763558315e-07,2820948.039151895,2820948.039151999,6513791051.96085,209,57.559322033898304,53.05323112566572,993,0
J9_E158,soykb,trace-1,right-left,0.8,2,45396,power,-6883169892708320730,uniform,22698,42927,42927,0,2820948.03915199,2820948.03915199,6513791051.960849,148,49.201388888888886,29.78849972231145,993,0
J9_E159,soykb,trace-1,right-left,0.8,2,45396,runtime,1751478776979157714,uniform,22698,41966,41966,2.4617987648412054e-07,2820948.0391517556,2820948.039152002,6513791051.96085,259,69.63316993464052,73.86581662818972,993,0
J9_E160,soykb,trace-1,right-left,0.8,2,45396,runtime_ascending,7859232726544578678,uniform,22698,36014,36014,4.07900380139381e-07,2820948.0391516117,2820948.0391520197,6513791051.960848,215,66.67819148936171,61.78861827455913,993,0
J9_E161,soykb,trace-1,right-left,0,4,90792,energy,-5911158560968955332,uniform,22698,21378,21378,6.185689294113672e-07,2820948.0391532,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E162,soykb,trace-1,right-left,0,4,90792,power,-5911158560968955332,uniform,22698,21378,21378,3.8822518533265793e-07,2820948.039151629,2820948.0391520173,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E163,soykb,trace-1,right-left,0,4,90792,runtime,-5911158560968955332,uniform,22698,21378,21378,4.957189325693889e-07,2820948.039153321,2820948.039153817,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E164,soykb,trace-1,right-left,0,4,90792,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,6.339251790166145e-07,2820948.0391531847,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E165,soykb,trace-1,right-left,0.2,4,90792,energy,643625677404341465,uniform,22698,34015,34015,1.847548780631314e-07,2820948.0391518148,2820948.0391519996,6513791051.960848,248,121.10252100840336,75.49927727020822,993,0
J9_E166,soykb,trace-1,right-left,0.2,4,90792,power,3815071605583843681,uniform,22698,40232,40232,1.3820624644722557e-07,2820948.03915186,2820948.0391519982,6513791051.960848,173,88.61189099917424,52.82496896440724,993,0
J9_E167,soykb,trace-1,right-left,0.2,4,90792,runtime,86391726823980236,uniform,22698,34170,34170,4.861212765661094e-07,2820948.0391533254,2820948.0391538115,6513791051.960848,256,121.90833333333333,79.67470309001862,993,0
J9_E168,soykb,trace-1,right-left,0.2,4,90792,runtime_ascending,8066596268942460393,uniform,22698,24931,24931,0,2820948.0391519866,2820948.0391519866,6513791051.960848,341,165.00744186046512,114.38864271989966,993,0
J9_E169,soykb,trace-1,right-left,0.5,4,90792,energy,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E170,soykb,trace-1,right-left,0.5,4,90792,power,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E171,soykb,trace-1,right-left,0.5,4,90792,runtime,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E172,soykb,trace-1,right-left,0.5,4,90792,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E173,soykb,trace-1,right-left,0.8,4,90792,energy,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
